"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 07 18:48:28 GMT 2022","Mon Feb 07 18:48:28 GMT 2022","84","Breeds","","","","","GetBreedsFail",""
"passed","Mon Feb 07 18:48:28 GMT 2022","Mon Feb 07 18:48:28 GMT 2022","241","Breeds","","","","","GetBreeds",""
